Method,N_episodes,Steps_mean,Steps_std,Reward_mean,Reward_std,Goal_rate_pct,Collision_mean,Collision_std,Inference_ms
Scripted Baseline (Phase 1),3,247.0,8.2,-165.54,12.3,100.0,49.0,4.1,0.0
PPO Phase 2D (ours),30,147.733,30.443,-104.683,37.488,100.0,91.2,29.162,0.884
